   1.0000000e-01	  -2.5360797e+02	   3.8842275e+01	   8.8671942e-01	
   1.0301003e-01	  -2.4447388e+02	   3.8030921e+01	   8.9687517e-01	
   1.0602007e-01	  -2.3565939e+02	   3.7260283e+01	   9.0669578e-01	
   1.0903010e-01	  -2.2715565e+02	   3.6531914e+01	   9.1610068e-01	
   1.1204013e-01	  -2.1895399e+02	   3.5846192e+01	   9.2435080e-01	
   1.1505017e-01	  -2.1104590e+02	   3.5191143e+01	   9.3302509e-01	
   1.1806020e-01	  -2.0342305e+02	   3.4566359e+01	   9.4143500e-01	
   1.2107023e-01	  -1.9607728e+02	   3.3970843e+01	   9.4954763e-01	
   1.2408027e-01	  -1.8900060e+02	   3.3402213e+01	   9.5740025e-01	
   1.2709030e-01	  -1.8218516e+02	   3.2853617e+01	   9.6592382e-01	
   1.3010033e-01	  -1.7562331e+02	   3.2334886e+01	   9.7327275e-01	
   1.3311037e-01	  -1.6930754e+02	   3.1836236e+01	   9.8040913e-01	
   1.3612040e-01	  -1.6323048e+02	   3.1357434e+01	   9.8732383e-01	
   1.3913043e-01	  -1.5738495e+02	   3.0898001e+01	   9.9402002e-01	
   1.4214047e-01	  -1.5176391e+02	   3.0456137e+01	   1.0005189e+00	
   1.4515050e-01	  -1.4636046e+02	   3.0030537e+01	   1.0068337e+00	
   1.4816054e-01	  -1.4116787e+02	   2.9619774e+01	   1.0129788e+00	
   1.5117057e-01	  -1.3617954e+02	   2.9224592e+01	   1.0189307e+00	
   1.5418060e-01	  -1.3138903e+02	   2.8842960e+01	   1.0247199e+00	
   1.5719064e-01	  -1.2679004e+02	   2.8474387e+01	   1.0303533e+00	
   1.6020067e-01	  -1.2237639e+02	   2.8117584e+01	   1.0358544e+00	
   1.6321070e-01	  -1.1814208e+02	   2.7772145e+01	   1.0412157e+00	
   1.6622074e-01	  -1.1408122e+02	   2.7437424e+01	   1.0464457e+00	
   1.6923077e-01	  -1.1018805e+02	   2.7113193e+01	   1.0515438e+00	
   1.7224080e-01	  -1.0645697e+02	   2.6799209e+01	   1.0565089e+00	
   1.7525084e-01	  -1.0288249e+02	   2.6494503e+01	   1.0613563e+00	
   1.7826087e-01	  -9.9459260e+01	   2.6198618e+01	   1.0660910e+00	
   1.8127090e-01	  -9.6182055e+01	   2.5911322e+01	   1.0707113e+00	
   1.8428094e-01	  -9.3045776e+01	   2.5632440e+01	   1.0752186e+00	
   1.8729097e-01	  -9.0045449e+01	   2.5361225e+01	   1.0796247e+00	
   1.9030100e-01	  -8.7176222e+01	   2.5097866e+01	   1.0839174e+00	
   1.9331104e-01	  -8.4433364e+01	   2.4842211e+01	   1.0880965e+00	
   1.9632107e-01	  -8.1812262e+01	   2.4593165e+01	   1.0921871e+00	
   1.9933110e-01	  -7.9308421e+01	   2.4349837e+01	   1.0962053e+00	
